,location,district,rooms,size,level,max_levels,price,income_cat,price_cat
0,"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,3,57.0,4,4,52000,3,3
1,"город Ташкент, Яккасарайский район, 1-й тупик Шота Руставели",Яккасарайский,2,52.0,4,5,56000,3,3
2,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,42.0,4,4,37000,2,2
3,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65.0,1,4,49500,2,2
4,"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,3,70.0,3,5,55000,3,3
5,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,28.0,1,4,25500,1,1
6,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30.0,2,4,21200,1,1
7,"город Ташкент, Яккасарайский район, Саламатина",Яккасарайский,2,32.0,5,5,20000,1,1
8,"город Ташкент, Учтепинский район, Чиланзар-21",Учтепинский,2,51.0,3,4,26200,1,1
9,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,1,30.0,1,4,22200,1,1
10,"город Ташкент, Учтепинский район, Чиланзар-14",Учтепинский,2,30.0,2,5,24200,1,1
11,"город Ташкент, Чиланзарский район, Чиланзар-20",Чиланзарский,3,67.0,2,5,30200,2,2
12,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,1,30.0,2,4,21200,1,1
14,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,30.0,2,4,21200,1,1
15,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,35.0,1,5,22500,1,1
16,"город Ташкент, Чиланзарский район, Г9а",Чиланзарский,1,43.0,4,4,22500,1,1
17,"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,51.0,2,4,21200,1,1
18,"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,3,65.0,1,4,32500,2,2
19,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,51.0,2,4,22200,1,1
20,"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,2,51.0,2,4,24200,1,1
21,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,4,90.0,5,5,45000,2,2
22,"город Ташкент, Чиланзарский район, 1-й проезд Заргарлик",Чиланзарский,4,80.0,3,4,56000,3,3
23,"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,2,70.0,5,5,47000,2,2
24,"город Ташкент, Мирзо-Улугбекский район, ТТЗ-4",Мирзо-Улугбекский,3,69.0,1,4,49900,2,2
25,"город Ташкент, Мирабадский район, Афросиёб",Мирабадский,3,80.0,2,4,76000,3,3
26,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,96.0,3,4,65000,3,3
27,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,76.0,4,4,47500,2,2
28,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,2,45.0,4,5,30000,1,1
29,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,27.0,3,4,32000,2,2
30,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,2,65.0,3,9,44000,2,2
31,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,64.0,3,4,56500,3,3
32,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,42.0,5,9,35000,2,2
33,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,26.0,2,4,23500,1,1
34,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,4,76.0,5,5,60500,3,3
35,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,80.0,2,4,68000,3,3
36,"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,3,72.0,5,5,41500,2,2
37,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100.0,3,12,55000,3,3
38,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65.0,4,4,44000,2,2
39,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,80.0,3,4,52500,3,3
40,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72.0,6,9,43000,2,2
41,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,65.0,1,4,80000,3,3
42,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,63.0,1,5,42000,2,2
43,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48.0,5,9,23000,1,1
44,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,3,70.0,3,4,47000,2,2
45,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,102.0,7,12,88784,4,4
46,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,4,78.0,2,4,65000,3,3
47,"город Ташкент, Чиланзарский район, Чиланзар квартал И",Чиланзарский,4,100.0,1,4,97000,4,4
48,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,34.0,1,4,28500,1,1
49,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,42.0,2,4,34500,2,2
50,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,80.0,4,5,51000,3,3
51,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,90.0,1,12,51000,3,3
52,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45.0,2,4,48000,2,2
53,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70.0,5,5,40000,2,2
